Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2018-03-18T23:00:00,297,1,github.com,General Software Development,2
2018-03-18T23:00:00,211,1,Gmail,Email,2
2018-03-18T23:00:00,145,1,en.wikipedia.org,General Reference & Learning,2
2018-03-18T23:00:00,82,1,loginwindow,General Utilities,1
2018-03-18T23:00:00,80,1,instaschedule.io,Project Management,2
2018-03-18T23:00:00,41,1,google.com,Search,2
2018-03-18T23:00:00,40,1,accounts.google.com,General Communication & Scheduling,2
2018-03-18T23:00:00,40,1,turbo360.co,General Software Development,2
2018-03-18T23:00:00,38,1,sit.instructure.com,General Reference & Learning,2
2018-03-18T23:00:00,24,1,instagram.com,General Social Networking,-2
2018-03-18T23:00:00,23,1,newtab,Browsers,0
2018-03-18T23:00:00,21,1,Finder,General Utilities,1
2018-03-18T23:00:00,20,1,11thcavnam.com,Uncategorized,0
2018-03-18T23:00:00,13,1,cosmosmith.com,Uncategorized,0
2018-03-18T23:00:00,13,1,my.stevens.edu,General Reference & Learning,2
2018-03-18T23:00:00,10,1,shibboleth.stevens.edu,General Reference & Learning,2
2018-03-18T23:00:00,9,1,sketch,Presentation,2
2018-03-18T23:00:00,6,1,google.com/calendar,Calendars,2
2018-03-18T23:00:00,6,1,amazon.com,General Shopping,-2
2018-03-18T23:00:00,5,1,gofundme.com,General Social Networking,-2
2018-03-18T23:00:00,3,1,Terminal,Systems Operations,2
2018-03-18T23:00:00,2,1,youtube.com,Video,-2
2018-03-18T23:00:00,2,1,fabric.io,Quality Assurance,2
2018-03-18T23:00:00,2,1,oss-jersey-city-yuem4w.turbo360-vertex.com,Uncategorized,0
2018-03-18T23:00:00,2,1,facebook.com,General Social Networking,-2
2018-03-18T23:00:00,2,1,richmondsavers.com,Uncategorized,0
2018-03-18T23:00:00,1,1,senorfrogscancun.checkfront.com,General Business,2
2018-03-18T23:00:00,1,1,sublime text,Editing & IDEs,2
2018-03-18T23:00:00,1,1,usmcofficer.com,Uncategorized,0
2018-03-18T23:00:00,1,1,stevens.edu,General Reference & Learning,2
2018-03-19T00:00:00,219,1,instagram.com,General Social Networking,-2
2018-03-19T00:00:00,125,1,Terminal,Systems Operations,2
2018-03-19T00:00:00,122,1,google.com,Search,2
2018-03-19T00:00:00,86,1,accounts.google.com,General Communication & Scheduling,2
2018-03-19T00:00:00,80,1,loginwindow,General Utilities,1
2018-03-19T00:00:00,74,1,sketch,Presentation,2
2018-03-19T00:00:00,27,1,Notes,Email,2
2018-03-19T00:00:00,27,1,instaschedule.io,Project Management,2
2018-03-19T00:00:00,19,1,Finder,General Utilities,1
2018-03-19T00:00:00,19,1,en.wikipedia.org,General Reference & Learning,2
2018-03-19T00:00:00,18,1,Gmail,Email,2
2018-03-19T00:00:00,16,1,newtab,Browsers,0
2018-03-19T00:00:00,3,1,github.com,General Software Development,2
2018-03-19T10:00:00,250,1,loginwindow,General Utilities,1
